entry_time,exit_time,entry_price,exit_price,quantity,pnl,entry_reason,exit_reason,session
2025-10-02 19:30:00-04:00,2025-10-03 01:55:00-04:00,25118.75,25171.0,10,990.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25172.94),overnight
2025-10-03 02:15:00-04:00,2025-10-03 06:30:00-04:00,25178.0,25171.0,10,-195.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25172.94),overnight
2025-10-05 18:10:00-04:00,2025-10-06 00:00:00-04:00,25032.75,25076.0,10,810.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25076.64),overnight
2025-10-06 04:00:00-04:00,2025-10-06 09:25:00-04:00,25096.75,25214.25,10,2295.0,Long entry: UT Bot buy signal,End of day exit,overnight
2025-10-07 00:10:00-04:00,2025-10-07 02:15:00-04:00,25177.25,25164.5,10,-310.0,Long entry: UT Bot buy signal,Hard stop hit at 25165.18,overnight
2025-10-08 03:30:00-04:00,2025-10-08 07:20:00-04:00,25069.25,25075.5,10,70.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25075.54),overnight
2025-10-09 03:10:00-04:00,2025-10-09 03:25:00-04:00,25345.0,25333.75,10,-280.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25341.11),overnight
2025-10-10 02:00:00-04:00,2025-10-10 02:35:00-04:00,25346.5,25323.5,10,-515.0,Long entry: UT Bot buy signal,Hard stop hit at 25327.95,overnight
2025-10-10 04:15:00-04:00,2025-10-10 04:20:00-04:00,25329.25,25326.75,10,-105.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25329.30),overnight
2025-10-10 04:40:00-04:00,2025-10-10 05:00:00-04:00,25335.5,25320.5,10,-355.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25329.30),overnight
2025-10-12 18:05:00-04:00,2025-10-12 23:40:00-04:00,24688.0,24796.25,2,422.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24796.46),overnight
2025-10-13 00:30:00-04:00,2025-10-13 04:25:00-04:00,24801.0,24855.75,10,1040.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24857.61),overnight
2025-10-13 04:55:00-04:00,2025-10-13 05:05:00-04:00,24874.5,24857.25,10,-400.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24857.61),overnight
2025-10-13 06:35:00-04:00,2025-10-13 06:40:00-04:00,24865.25,24841.5,10,-530.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24857.61),overnight
2025-10-15 00:15:00-04:00,2025-10-15 09:25:00-04:00,24817.75,25001.75,10,3625.0,Long entry: UT Bot buy signal,End of day exit,overnight
2025-10-15 16:05:00-04:00,2025-10-15 20:30:00-04:00,24945.25,24895.25,7,-738.5,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24910.20),overnight
2025-10-16 03:45:00-04:00,2025-10-16 08:10:00-04:00,25011.25,25031.75,10,355.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25039.13),overnight
2025-10-19 20:00:00-04:00,2025-10-19 20:05:00-04:00,25005.0,25002.0,10,-115.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25005.93),overnight
2025-10-19 20:45:00-04:00,2025-10-20 04:40:00-04:00,25031.75,25088.25,10,1075.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25090.85),overnight
2025-10-20 16:10:00-04:00,2025-10-20 23:45:00-04:00,25316.75,25325.0,10,110.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25338.20),overnight
2025-10-22 00:00:00-04:00,2025-10-22 03:05:00-04:00,25309.5,25289.5,10,-455.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25290.27),overnight
2025-10-22 03:30:00-04:00,2025-10-22 04:05:00-04:00,25297.0,25281.75,10,-360.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25290.27),overnight
2025-10-22 06:45:00-04:00,2025-10-22 06:55:00-04:00,25301.0,25286.5,10,-345.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25288.79),overnight
2025-10-22 18:10:00-04:00,2025-10-22 19:50:00-04:00,25039.5,25011.75,10,-610.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25017.56),overnight
2025-10-22 20:25:00-04:00,2025-10-23 00:10:00-04:00,25027.25,25072.5,10,850.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25074.88),overnight
2025-10-23 00:25:00-04:00,2025-10-23 00:30:00-04:00,25080.75,25066.5,10,-340.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25074.88),overnight
2025-10-24 03:35:00-04:00,2025-10-24 03:45:00-04:00,25359.25,25337.75,10,-485.0,Long entry: UT Bot buy signal,Hard stop hit at 25339.37,overnight
2025-10-24 04:50:00-04:00,2025-10-24 09:25:00-04:00,25356.75,25466.75,10,2145.0,Long entry: UT Bot buy signal,End of day exit,overnight
2025-10-26 18:05:00-04:00,2025-10-27 04:25:00-04:00,25723.5,25776.75,7,707.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25778.12),overnight
2025-10-27 04:40:00-04:00,2025-10-27 07:45:00-04:00,25792.75,25814.25,10,375.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25816.91),overnight
2025-10-27 20:40:00-04:00,2025-10-27 20:45:00-04:00,25982.5,25978.75,10,-130.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25983.06),overnight
2025-10-28 06:20:00-04:00,2025-10-28 09:25:00-04:00,25987.25,26051.5,10,1230.0,Long entry: UT Bot buy signal,End of day exit,overnight
2025-10-28 18:05:00-04:00,2025-10-28 18:45:00-04:00,26181.75,26173.75,10,-215.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26174.04),overnight
2025-10-28 19:20:00-04:00,2025-10-28 20:00:00-04:00,26186.0,26172.5,10,-325.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26174.04),overnight
2025-10-28 20:25:00-04:00,2025-10-28 20:50:00-04:00,26185.5,26172.5,10,-315.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26174.04),overnight
2025-10-29 16:00:00-04:00,2025-10-29 16:05:00-04:00,26331.25,26215.0,4,-952.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26263.40),overnight
2025-10-29 20:15:00-04:00,2025-10-30 00:05:00-04:00,26284.25,26306.25,10,385.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26335.89),overnight
2025-10-30 16:20:00-04:00,2025-10-31 01:50:00-04:00,26019.25,26166.0,7,2016.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26168.02),overnight
2025-10-31 02:05:00-04:00,2025-10-31 02:50:00-04:00,26172.0,26156.0,10,-375.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26168.02),overnight
2025-10-31 03:35:00-04:00,2025-10-31 04:10:00-04:00,26198.0,26160.0,10,-815.0,Long entry: UT Bot buy signal,Hard stop hit at 26171.03,overnight
2025-10-31 04:30:00-04:00,2025-10-31 04:35:00-04:00,26177.5,26166.25,10,-280.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26171.82),overnight
2025-10-31 06:35:00-04:00,2025-10-31 08:40:00-04:00,26188.25,26219.5,10,570.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26220.21),overnight
2025-11-02 18:10:00-05:00,2025-11-02 21:35:00-05:00,26070.75,26073.5,10,0.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26075.32),overnight
2025-11-03 00:35:00-05:00,2025-11-03 00:45:00-05:00,26085.5,26068.0,10,-405.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (26075.32),overnight
2025-11-03 03:45:00-05:00,2025-11-03 09:25:00-05:00,26080.75,26235.5,10,3040.0,Long entry: UT Bot buy signal,End of day exit,overnight
2025-11-04 06:20:00-05:00,2025-11-04 07:00:00-05:00,25766.0,25736.25,10,-650.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25759.85),overnight
2025-11-05 06:45:00-05:00,2025-11-05 09:25:00-05:00,25473.0,25542.0,10,1325.0,Long entry: UT Bot buy signal,End of day exit,overnight
2025-11-06 00:25:00-05:00,2025-11-06 00:30:00-05:00,25725.5,25719.75,10,-170.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25726.57),overnight
2025-11-06 04:15:00-05:00,2025-11-06 09:00:00-05:00,25734.0,25744.75,10,160.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25764.47),overnight
2025-11-07 00:10:00-05:00,2025-11-07 03:30:00-05:00,25294.5,25290.25,10,-140.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25290.77),overnight
2025-11-07 03:45:00-05:00,2025-11-07 04:00:00-05:00,25316.75,25289.75,10,-595.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25290.77),overnight
2025-11-12 00:05:00-05:00,2025-11-12 03:00:00-05:00,25725.25,25768.0,10,800.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25772.93),overnight
2025-11-12 03:20:00-05:00,2025-11-12 06:25:00-05:00,25787.5,25744.0,10,-925.0,Long entry: UT Bot buy signal,Hard stop hit at 25763.30,overnight
2025-11-12 20:10:00-05:00,2025-11-13 02:50:00-05:00,25696.5,25671.0,9,-508.5,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25676.27),overnight
2025-11-13 03:55:00-05:00,2025-11-13 04:00:00-05:00,25677.0,25661.0,10,-375.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25676.27),overnight
2025-11-14 00:45:00-05:00,2025-11-14 01:00:00-05:00,25094.75,25076.75,10,-415.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25089.46),overnight
2025-11-14 16:15:00-05:00,2025-11-16 18:00:00-05:00,25153.0,25031.0,7,-1746.5,Long entry: UT Bot buy signal,Max risk stop: loss $1746.50 >= $1225.18,overnight
2025-11-16 18:20:00-05:00,2025-11-17 01:50:00-05:00,25141.75,25230.25,7,1200.5,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25235.06),overnight
2025-11-17 02:00:00-05:00,2025-11-17 04:35:00-05:00,25241.5,25278.75,10,690.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25292.49),overnight
2025-11-17 16:15:00-05:00,2025-11-17 16:25:00-05:00,24916.5,24898.5,7,-290.5,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24907.30),overnight
2025-11-17 18:05:00-05:00,2025-11-17 18:10:00-05:00,24916.75,24903.5,10,-320.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24907.30),overnight
2025-11-17 18:30:00-05:00,2025-11-17 19:15:00-05:00,24921.75,24878.5,10,-920.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24907.30),overnight
2025-11-17 20:20:00-05:00,2025-11-17 21:35:00-05:00,24935.5,24874.5,9,-1147.5,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24907.30),overnight
2025-11-18 03:10:00-05:00,2025-11-18 07:10:00-05:00,24747.5,24708.25,8,-672.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24736.18),overnight
2025-11-19 02:10:00-05:00,2025-11-19 09:05:00-05:00,24603.0,24630.5,9,445.5,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24648.82),overnight
2025-11-19 16:25:00-05:00,2025-11-20 01:25:00-05:00,24851.25,25143.0,4,2312.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25145.21),overnight
2025-11-20 03:10:00-05:00,2025-11-20 03:30:00-05:00,25154.25,25142.0,10,-300.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (25145.21),overnight
2025-11-20 20:25:00-05:00,2025-11-20 20:30:00-05:00,24227.0,24207.5,10,-445.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24208.86),overnight
2025-11-20 20:45:00-05:00,2025-11-20 20:55:00-05:00,24219.5,24206.0,10,-325.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24208.86),overnight
2025-11-21 04:00:00-05:00,2025-11-21 04:10:00-05:00,24189.5,24188.0,7,-59.5,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24194.66),overnight
2025-11-21 06:00:00-05:00,2025-11-21 06:45:00-05:00,24088.0,24044.5,6,-555.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24079.13),overnight
2025-11-23 18:05:00-05:00,2025-11-23 23:10:00-05:00,24495.0,24453.5,6,-531.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24455.75),overnight
2025-11-24 00:10:00-05:00,2025-11-24 02:00:00-05:00,24500.5,24454.5,10,-975.0,Long entry: UT Bot buy signal,Hard stop hit at 24457.44,overnight
2025-11-25 00:40:00-05:00,2025-11-25 00:45:00-05:00,24932.5,24925.0,10,-205.0,Long entry: UT Bot buy signal,Close below UT Bot trailing stop (24926.62),overnight
