entry_time,entry_price,exit_time,exit_price,pnl
2025-10-02 19:30:00-04:00,25118.75,2025-10-03 01:55:00-04:00,25171.0,990.0
2025-10-03 02:15:00-04:00,25178.0,2025-10-03 06:30:00-04:00,25171.0,-195.0
2025-10-05 18:10:00-04:00,25032.75,2025-10-06 00:00:00-04:00,25076.0,810.0
2025-10-06 04:00:00-04:00,25096.75,2025-10-06 09:25:00-04:00,25214.25,2295.0
2025-10-07 00:10:00-04:00,25177.25,2025-10-07 02:15:00-04:00,25164.5,-310.0
2025-10-08 03:30:00-04:00,25069.25,2025-10-08 07:20:00-04:00,25075.5,70.0
2025-10-09 03:10:00-04:00,25345.0,2025-10-09 03:25:00-04:00,25333.75,-280.0
2025-10-10 02:00:00-04:00,25346.5,2025-10-10 02:35:00-04:00,25323.5,-515.0
2025-10-10 04:15:00-04:00,25329.25,2025-10-10 04:20:00-04:00,25326.75,-105.0
2025-10-10 04:40:00-04:00,25335.5,2025-10-10 05:00:00-04:00,25320.5,-355.0
2025-10-12 18:05:00-04:00,24688.0,2025-10-12 23:40:00-04:00,24796.25,422.0
2025-10-13 00:30:00-04:00,24801.0,2025-10-13 04:25:00-04:00,24855.75,1040.0
2025-10-13 04:55:00-04:00,24874.5,2025-10-13 05:05:00-04:00,24857.25,-400.0
2025-10-13 06:35:00-04:00,24865.25,2025-10-13 06:40:00-04:00,24841.5,-530.0
2025-10-15 00:15:00-04:00,24817.75,2025-10-15 09:25:00-04:00,25001.75,3625.0
2025-10-15 16:05:00-04:00,24945.25,2025-10-15 20:30:00-04:00,24895.25,-738.5
2025-10-16 03:45:00-04:00,25011.25,2025-10-16 08:10:00-04:00,25031.75,355.0
2025-10-19 20:00:00-04:00,25005.0,2025-10-19 20:05:00-04:00,25002.0,-115.0
2025-10-19 20:45:00-04:00,25031.75,2025-10-20 04:40:00-04:00,25088.25,1075.0
2025-10-20 16:10:00-04:00,25316.75,2025-10-20 23:45:00-04:00,25325.0,110.0
2025-10-22 00:00:00-04:00,25309.5,2025-10-22 03:05:00-04:00,25289.5,-455.0
2025-10-22 03:30:00-04:00,25297.0,2025-10-22 04:05:00-04:00,25281.75,-360.0
2025-10-22 06:45:00-04:00,25301.0,2025-10-22 06:55:00-04:00,25286.5,-345.0
